"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
11,7143;7,3431;17,4389;-28,6129;-28,7240;16,7015;-3,1855;10,8188
6,3570;6,1557;18,4881;-27,9403;-28,7392;16,5470;-4,0293;11,0252
1,1893;4,7791;19,3655;-27,0958;-28,5977;16,2029;-5,0780;11,0596
-3,9785;3,3857;20,0357;-26,0641;-28,0817;15,8763;-5,9546;8,5146
-9,1624;2,1981;20,9309;-25,0632;-27,5811;15,3603;-6,6264;9,5628
-14,1577;0,8215;21,4646;-23,6877;-26,9085;14,8442;-7,5029;8,4963
-19,1686;-0,5550;21,8085;-22,3278;-26,0487;14,3455;-8,1748;7,6889
-24,0069;-1,9481;22,1702;-20,7805;-25,2197;13,6747;-9,0674;8,0514
-28,6724;-3,1361;22,3422;-19,2646;-24,0161;12,8145;-9,5673;10,3372
-33,1652;-4,5290;22,5320;-17,3578;-22,8281;11,9542;-10,2716;10,1823
-37,4706;-5,7335;22,5676;-15,6545;-21,4682;11,0940;-10,7877;9,8554
-41,8197;-6,9379;22,2058;-13,7795;-19,9209;10,2510;-11,3198;9,3222
-45,6223;-8,1423;22,0693;-11,7168;-18,3893;9,2187;-11,6639;8,9953
-49,2523;-9,3467;21,5532;-9,6702;-16,6702;8,1864;-12,0079;8,4792
-52,7378;-10,5673;21,0548;-7,4193;-14,9669;7,1711;-12,3680;7,9802
-55,6781;-11,5996;20,3843;-5,3730;-13,0919;5,9666;-12,5400;7,2750
